account_id,customer_id,account_type,balance,currency,created_at
9353121a-23d2-45db-bf66-60790423c2fd,90e99ede-4315-4ce9-a797-f338f595db4a,CHECKING,30926.25,INVALID_CURR,2026-05-20 00:12:11.892409
8f9e6dea-b2ac-4c9b-839e-f544b761cfbc,f86707f1-720d-4a2f-aee7-9df8c72c5768,SAVINGS,26439.17,USD,2026-01-18 00:12:11.892594
88382257-b5b1-4d10-98fb-5650a8d8a7d8,e193f7b0-4ab2-41c8-97d6-6ff558049159,INVESTMENT,6672.71,EUR,2026-06-17 00:12:11.892674
d5eba7cc-7b62-408e-abe9-f7ea18083ecd,0f34f64b-061c-42a6-ab84-788a512b4d34,SAVINGS,23031.76,USD,2026-05-03 00:12:11.892732
8ed63dab-8a32-4cbd-a5ef-eaf7013215d1,777f4754-4831-4bfc-81d6-938c35e72385,CHECKING,5300.9,USD,2026-05-31 00:12:11.892790
8c57861a-79cf-45d6-8f24-e24ee33c8525,bf26443d-bc8c-410d-90d4-b187c54c0eb4,INVESTMENT,17909.31,USD,2026-01-11 00:12:11.892841
6cb2c587-25ee-4727-ad69-188a256affe1,e67902aa-9ceb-4e64-8858-d7a03d3b89bb,SAVINGS,14663.92,EUR,2026-01-05 00:12:11.892888
778bd418-09dd-4aae-9653-de0b3fedb96d,8ecb5fb6-3b7c-4759-a178-46e71fe1a1cf,SAVINGS,33351.78,CAD,2026-01-19 00:12:11.892932
2d3e0fa1-476c-4e76-9c99-459082a82fee,bcb171b0-b2af-485d-afee-e81f529e9978,CHECKING,32034.5,CAD,2026-05-27 00:12:11.892977
4f6022d4-47a4-4c88-ad24-f856a9e19901,79a45073-8ec9-47f7-900b-836de3aad990,INVESTMENT,5930.13,CAD,2026-02-01 00:12:11.893021
2bf5f141-a7a4-44bb-8fa4-dcf70a520456,379d119e-8ca5-4be3-a6a0-0efa165e3274,CHECKING,5933.25,CAD,2026-02-17 00:12:11.893072
1a6eae26-8019-4565-a79c-890b9c5aaeb2,49719fd5-14f7-4fef-9da3-3a8b5645c2e5,CHECKING,19893.18,CAD,2026-04-06 00:12:11.893127
62f15b78-f7bd-4d27-b4b9-5043f71909fd,7eccec0c-ec3f-4d77-8287-77ac2cb5d805,CHECKING,6017.45,CAD,2026-01-26 00:12:11.893171
ef1ad986-3607-4bef-9ee9-8186ecea0c0a,032c7d9a-42ce-4d16-893d-0f0a71aed421,SAVINGS,29101.69,USD,2026-06-25 00:12:11.893218
334ae75f-8605-4d85-afd1-54fa5ee2e44c,ae033f2c-e799-49b4-9c14-9eaf97086325,CHECKING,17058.89,CAD,2026-01-24 00:12:11.893266
19ea422b-c508-4227-b76b-675eb1f8e7e4,c278814f-29d6-4660-ba41-06a5242678b7,SAVINGS,16286.6,USD,2026-04-26 00:12:11.893309
948922a4-7d8f-4619-8ac9-80d44dd3cefe,ce528100-94cd-43c4-b391-abbde2b628ec,INVESTMENT,10017.8,CAD,2026-03-15 00:12:11.893351
0b802d7e-42c5-4bd4-acac-3a776f80a55e,2c8e8f5a-bf50-492e-83c5-00df0160128a,CHECKING,28733.7,USD,2026-07-18 00:12:11.893394
d7761132-8fa6-4bf6-a7ce-e9df7e6079fc,8450879e-f5ac-4424-85fd-6cdbeb517aef,CHECKING,5325.16,CAD,2026-05-28 00:12:11.893441
f448c3c4-f9c4-4290-b4c9-e1862bf85ea4,08312d80-3d11-45fc-a281-13caac8e1468,CHECKING,22265.96,EUR,2026-03-08 00:12:11.893483
